iter	Logloss
0	0.6868014713
1	0.6797260425
2	0.6756218501
3	0.6689233798
4	0.6635957687
5	0.6580394316
6	0.6525369751
7	0.6470369498
8	0.6409838593
9	0.6364350935
10	0.6310282222
11	0.6250989094
12	0.6208391242
13	0.6168252321
14	0.6128139046
15	0.6090543236
16	0.6038092691
17	0.5985683176
18	0.5947242633
19	0.5904721685
20	0.5872464819
21	0.58322565
22	0.5790285211
23	0.5752105249
24	0.5712929094
25	0.5669860913
26	0.5632120381
27	0.5597264316
28	0.5557717958
29	0.5517155308
30	0.5484457952
31	0.5446081715
32	0.5410276671
33	0.5380287038
34	0.5362256901
35	0.5326654728
36	0.528783682
37	0.5259506639
38	0.5230498945
39	0.5200990153
40	0.5184342918
41	0.5157909516
42	0.5124631415
43	0.5098058617
44	0.5071335596
45	0.5044360585
46	0.5016640093
47	0.4995911449
48	0.4970052315
49	0.4940598797
50	0.4920475731
51	0.4900210227
52	0.4874344568
53	0.4858321874
54	0.4833297506
55	0.481538649
56	0.4800208062
57	0.4783276409
58	0.4772762078
59	0.4754986849
60	0.4737215474
61	0.4719356917
62	0.4699773818
63	0.4680778706
64	0.4666106057
65	0.464401896
66	0.4622610182
67	0.4602648765
68	0.4586801659
69	0.4570024396
70	0.4558937317
71	0.4540493492
72	0.4527538713
73	0.4514996718
74	0.45051221
75	0.4486512092
76	0.4475629572
77	0.4460354017
78	0.4447110167
79	0.4430395208
80	0.4417329968
81	0.4401592441
82	0.4393982994
83	0.4385258263
84	0.4370109726
85	0.4357601083
86	0.4342269689
87	0.4330187578
88	0.4319045103
89	0.4310500397
90	0.4299735176
91	0.4285679118
92	0.4279491478
93	0.4267633753
94	0.4261541193
95	0.4258635723
96	0.4252741141
97	0.4238409858
98	0.4225223644
99	0.4213481408
100	0.4202596183
101	0.4195002522
102	0.4185252765
103	0.4170405166
104	0.4161312978
105	0.4153685652
106	0.4144063547
107	0.4136723351
108	0.4133389003
109	0.4125748452
110	0.4119554711
111	0.41163863
112	0.4107577216
113	0.4098193283
114	0.4090287734
115	0.408415477
116	0.407925813
117	0.4072499108
118	0.4065569424
119	0.405708412
120	0.4053092949
121	0.4045259266
122	0.4037216979
123	0.4033978878
124	0.4027275052
125	0.4023483416
126	0.401606083
127	0.4013697676
128	0.4009617201
129	0.400555755
130	0.4000481397
131	0.3996114509
132	0.3993543335
133	0.3986865493
134	0.3981312681
135	0.3973479447
136	0.3966223694
137	0.3958516335
138	0.3954299588
139	0.3951218541
140	0.3942692779
141	0.3935949908
142	0.393250297
143	0.3927006461
144	0.3919326856
145	0.3914386051
146	0.3907778077
147	0.3902097257
148	0.3898227272
149	0.3895305928
150	0.3886144429
151	0.387981114
152	0.3870925389
153	0.386936144
154	0.386347755
155	0.3860979729
156	0.3855259485
157	0.3849121993
158	0.3844131239
159	0.3838976405
160	0.38331577
161	0.383231634
162	0.3830200626
163	0.3823870454
164	0.3821263634
165	0.3817980944
166	0.3811866793
167	0.3806853024
168	0.3803838235
169	0.3798665729
170	0.3791718845
171	0.3786768627
172	0.3780209089
173	0.3777871075
174	0.3774474599
175	0.3769580158
176	0.3764177669
177	0.3758607605
178	0.3754261155
179	0.3751660657
180	0.3747212159
181	0.3744827989
182	0.3739054725
183	0.3736774294
184	0.3732968483
185	0.3730478914
186	0.3725302936
187	0.3721683137
188	0.3720264204
189	0.3716316173
190	0.3714025905
191	0.3711362116
192	0.3704981424
193	0.370251543
194	0.3694901586
195	0.3690907939
196	0.3686079701
197	0.3683469864
198	0.3679354848
199	0.3674987975
