iter	Passed	Remaining
0	1	276
1	2	270
2	3	217
3	4	207
4	5	229
5	13	437
6	14	409
7	16	391
8	17	366
9	18	345
10	19	330
11	20	313
12	20	299
13	24	324
14	25	320
15	26	308
16	27	297
17	28	287
18	29	281
19	30	276
20	31	269
21	32	261
22	33	254
23	33	248
24	34	242
25	35	238
26	38	244
27	39	244
28	40	240
29	41	237
30	42	233
31	43	228
32	44	224
33	45	220
34	45	215
35	46	211
36	47	207
37	47	203
38	48	200
39	51	207
40	53	206
41	54	204
42	55	203
43	56	201
44	57	198
45	58	195
46	59	192
47	60	190
48	60	187
49	61	184
50	62	182
51	65	185
52	66	185
53	68	186
54	69	183
55	70	181
56	71	178
57	71	176
58	72	173
59	73	170
60	74	168
61	74	166
62	75	164
63	83	176
64	84	174
65	86	174
66	87	172
67	87	170
68	88	167
69	89	165
70	89	163
71	90	160
72	91	158
73	91	156
74	94	157
75	95	156
76	96	154
77	97	152
78	98	150
79	98	148
80	99	146
81	100	144
82	100	141
83	101	139
84	102	138
85	102	136
86	103	134
87	104	132
88	104	130
89	105	128
90	106	127
91	109	128
92	110	127
93	111	125
94	112	124
95	112	122
96	113	120
97	113	118
98	114	116
99	115	115
100	115	113
101	116	111
102	117	110
103	117	108
104	118	107
105	118	105
106	119	103
107	119	102
108	124	104
109	125	102
110	126	101
111	126	99
112	127	97
113	127	96
114	128	94
115	129	93
116	129	92
117	130	90
118	131	89
119	132	88
120	132	86
121	133	85
122	134	83
123	134	82
124	135	81
125	136	80
126	137	78
127	137	77
128	138	76
129	139	75
130	139	73
131	140	72
132	140	70
133	141	69
134	142	68
135	142	67
136	143	65
137	144	64
138	144	63
139	145	62
140	146	61
141	146	59
142	147	58
143	147	57
144	148	56
145	149	55
146	151	54
147	152	53
148	152	52
149	153	51
150	153	49
151	154	48
152	155	47
153	155	46
154	156	45
155	156	44
156	157	43
157	157	41
158	158	40
159	159	39
160	159	38
161	160	37
162	160	36
163	161	35
164	162	34
165	162	33
166	163	32
167	163	31
168	165	30
169	166	29
170	167	28
171	167	27
172	168	26
173	168	25
174	169	24
175	169	23
176	170	22
177	171	21
178	171	20
179	172	19
180	173	18
181	173	17
182	174	16
183	175	15
184	175	14
185	176	13
186	176	12
187	177	11
188	177	10
189	178	9
190	180	8
191	181	7
192	182	6
193	184	5
194	184	4
195	185	3
196	186	2
197	186	1
198	187	0
199	187	0
